Pair,Predictor
3763,GPP_LAG1
3764,SRWI_msc
3764,GPP_LAG2
3765,SRWI_msc
3765,GPP_LAG3
3766,SRWI_msc
3766,GPP_LEAD1
3767,SRWI_msc
3767,GPP_LEAD2
3768,SRWI_msc
3768,GPP_LEAD3
3769,SRWI_msc
3769,RECO_LAG1
3770,SRWI_msc
3770,RECO_LAG2
3771,SRWI_msc
3771,RECO_LAG3
3772,SRWI_msc
3772,RECO_LEAD1
3773,SRWI_msc
3773,RECO_LEAD2
3774,SRWI_msc
3774,RECO_LEAD3
3775,SRWI_msc
3775,LE_LAG1
3776,SRWI_msc
3776,LE_LAG2
3777,SRWI_msc
3777,LE_LAG3
3778,SRWI_msc
3778,LE_LEAD1
3779,SRWI_msc
3779,LE_LEAD2
3780,SRWI_msc
3780,LE_LEAD3
3781,LSWI_msc
3781,LSTN_msc
3782,LSWI_msc
3782,NDSI
3783,LSWI_msc
3783,NDVI
3784,LSWI_msc
3784,EVI
3785,LSWI_msc
3785,NDWI
3786,LSWI_msc
3786,SRWI
3787,LSWI_msc
3787,LSWI
3788,LSWI_msc
3788,LSTN
3789,LSWI_msc
3789,NDSI_mean
3790,LSWI_msc
3790,NDVI_mean
3791,LSWI_msc
3791,EVI_mean
3792,LSWI_msc
3792,NDWI_mean
3793,LSWI_msc
3793,SRWI_mean
3794,LSWI_msc
3794,LSWI_mean
3795,LSWI_msc
3795,LSTN_mean
3796,LSWI_msc
3796,NDSI_min
3797,LSWI_msc
3797,NDVI_min
3798,LSWI_msc
3798,EVI_min
3799,LSWI_msc
3799,NDWI_min
3800,LSWI_msc
3800,SRWI_min
3801,LSWI_msc
3801,LSWI_min
3802,LSWI_msc
3802,LSTN_min
3803,LSWI_msc
3803,NDSI_max
3804,LSWI_msc
3804,NDVI_max
3805,LSWI_msc
3805,EVI_max
3806,LSWI_msc
3806,NDWI_max
3807,LSWI_msc
3807,SRWI_max
3808,LSWI_msc
3808,LSWI_max
3809,LSWI_msc
3809,LSTN_max
3810,LSWI_msc
3810,NDSI_amp
3811,LSWI_msc
3811,NDVI_amp
3812,LSWI_msc
3812,EVI_amp
3813,LSWI_msc
3813,NDWI_amp
3814,LSWI_msc
3814,SRWI_amp
3815,LSWI_msc
3815,LSWI_amp
3816,LSWI_msc
3816,LSTN_amp
3817,LSWI_msc
3817,WF
3818,LSWI_msc
3818,WFS
3819,LSWI_msc
3819,WFR
3820,LSWI_msc
3820,aet
3821,LSWI_msc
3821,aetS
3822,LSWI_msc
3822,aetR
3823,LSWI_msc
3823,soilwater
3824,LSWI_msc
3824,soilwaterS
3825,LSWI_msc
3825,soilwaterR
3826,LSWI_msc
3826,nx_depo
3827,LSWI_msc
3827,ny_dep
3828,LSWI_msc
3828,s_dep
3829,LSWI_msc
3829,nt_depo
3830,LSWI_msc
3830,bare
3831,LSWI_msc
3831,shrub
3832,LSWI_msc
3832,tree
3833,LSWI_msc
3833,rpot
3834,LSWI_msc
3834,canopyht
3835,LSWI_msc
3835,cti
3836,LSWI_msc
3836,wc_mat
3837,LSWI_msc
3837,wc_dtr
3838,LSWI_msc
3838,wc_iso
3839,LSWI_msc
3839,wc_ts
3840,LSWI_msc
3840,wc_mtqm
3841,LSWI_msc
3841,wc_mtcm
3842,LSWI_msc
3842,wc_tr
3843,LSWI_msc
3843,wc_mtwtq
3844,LSWI_msc
3844,wc_mtdq
3845,LSWI_msc
3845,wc_mtwq
3846,LSWI_msc
3846,wc_mtcq
3847,LSWI_msc
3847,wc_map
3848,LSWI_msc
3848,wc_pwtm
3849,LSWI_msc
3849,wc_pdm
3850,LSWI_msc
3850,wc_ps
3851,LSWI_msc
3851,wc_pwtq
3852,LSWI_msc
3852,wc_pdq
3853,LSWI_msc
3853,wc_pwq
3854,LSWI_msc
3854,wc_pcq
3855,LSWI_msc
3855,awc
3856,LSWI_msc
3856,bd
3857,LSWI_msc
3857,clay
3858,LSWI_msc
3858,hist
3859,LSWI_msc
3859,ocd
3860,LSWI_msc
3860,ph
3861,LSWI_msc
3861,cont
3862,LSWI_msc
3862,corr
3863,LSWI_msc
3863,cv
3864,LSWI_msc
3864,diss
3865,LSWI_msc
3865,east
3866,LSWI_msc
3866,elev
3867,LSWI_msc
3867,entr
3868,LSWI_msc
3868,even
3869,LSWI_msc
3869,flat
3870,LSWI_msc
3870,HD
3871,LSWI_msc
3871,HD7
3872,LSWI_msc
3872,HD9
3873,LSWI_msc
3873,hollow
3874,LSWI_msc
3874,homo
3875,LSWI_msc
3875,max
3876,LSWI_msc
3876,north
3877,LSWI_msc
3877,pcurv
3878,LSWI_msc
3878,rang
3879,LSWI_msc
3879,rough
3880,LSWI_msc
3880,shan
3881,LSWI_msc
3881,simp
3882,LSWI_msc
3882,slope
3883,LSWI_msc
3883,std
3884,LSWI_msc
3884,tcurv
3885,LSWI_msc
3885,tpi
3886,LSWI_msc
3886,unif
3887,LSWI_msc
3887,var
3888,LSWI_msc
3888,rpot_LAG4
3889,LSWI_msc
3889,rpot_LAG8
3890,LSWI_msc
3890,rpot_LAG12
3891,LSWI_msc
3891,rpot_LEAD4
3892,LSWI_msc
3892,rpot_LEAD8
3893,LSWI_msc
3893,rpot_LEAD12
3894,LSWI_msc
3894,WFS_LAG4
3895,LSWI_msc
3895,WFS_LAG8
3896,LSWI_msc
3896,WFS_LAG12
3897,LSWI_msc
3897,WFS_LEAD4
3898,LSWI_msc
3898,WFS_LEAD8
3899,LSWI_msc
3899,WFS_LEAD12
3900,LSWI_msc
3900,LSTN_LAG1
3901,LSWI_msc
3901,LSTN_LAG2
3902,LSWI_msc
3902,LSTN_LAG3
3903,LSWI_msc
3903,LSTN_LEAD1
3904,LSWI_msc
3904,LSTN_LEAD2
3905,LSWI_msc
3905,LSTN_LEAD3
3906,LSWI_msc
3906,NDSI_LAG1
3907,LSWI_msc
3907,NDSI_LAG2
3908,LSWI_msc
3908,NDSI_LAG3
3909,LSWI_msc
3909,NDSI_LEAD1
3910,LSWI_msc
3910,NDSI_LEAD2
3911,LSWI_msc
3911,NDSI_LEAD3
3912,LSWI_msc
3912,NDVI_LAG1
3913,LSWI_msc
3913,NDVI_LAG2
3914,LSWI_msc
3914,NDVI_LAG3
3915,LSWI_msc
3915,NDVI_LEAD1
3916,LSWI_msc
3916,NDVI_LEAD2
3917,LSWI_msc
3917,NDVI_LEAD3
3918,LSWI_msc
3918,EVI_LAG1
3919,LSWI_msc
3919,EVI_LAG2
3920,LSWI_msc
3920,EVI_LAG3
3921,LSWI_msc
3921,EVI_LEAD1
3922,LSWI_msc
3922,EVI_LEAD2
3923,LSWI_msc
3923,EVI_LEAD3
3924,LSWI_msc
3924,NDWI_LAG1
3925,LSWI_msc
3925,NDWI_LAG2
3926,LSWI_msc
3926,NDWI_LAG3
3927,LSWI_msc
3927,NDWI_LEAD1
3928,LSWI_msc
3928,NDWI_LEAD2
3929,LSWI_msc
3929,NDWI_LEAD3
3930,LSWI_msc
3930,SRWI_LAG1
3931,LSWI_msc
3931,SRWI_LAG2
3932,LSWI_msc
3932,SRWI_LAG3
3933,LSWI_msc
3933,SRWI_LEAD1
3934,LSWI_msc
3934,SRWI_LEAD2
3935,LSWI_msc
3935,SRWI_LEAD3
3936,LSWI_msc
3936,LSWI_LAG1
3937,LSWI_msc
3937,LSWI_LAG2
3938,LSWI_msc
3938,LSWI_LAG3
3939,LSWI_msc
3939,LSWI_LEAD1
3940,LSWI_msc
3940,LSWI_LEAD2
3941,LSWI_msc
3941,LSWI_LEAD3
3942,LSWI_msc
3942,soilwater_LAG4
3943,LSWI_msc
3943,soilwater_LAG8
3944,LSWI_msc
3944,soilwater_LAG12
3945,LSWI_msc
3945,soilwater_LEAD4
3946,LSWI_msc
3946,soilwater_LEAD8
3947,LSWI_msc
3947,soilwater_LEAD12
3948,LSWI_msc
3948,soilwaterS_LAG4
3949,LSWI_msc
3949,soilwaterS_LAG8
3950,LSWI_msc
3950,soilwaterS_LAG12
3951,LSWI_msc
3951,soilwaterS_LEAD4
3952,LSWI_msc
3952,soilwaterS_LEAD8
3953,LSWI_msc
3953,soilwaterS_LEAD12
3954,LSWI_msc
3954,aet_LAG4
3955,LSWI_msc
3955,aet_LAG8
3956,LSWI_msc
3956,aet_LAG12
3957,LSWI_msc
3957,aet_LEAD4
3958,LSWI_msc
3958,aet_LEAD8
3959,LSWI_msc
3959,aet_LEAD12
3960,LSWI_msc
3960,aetS_LAG4
3961,LSWI_msc
3961,aetS_LAG8
3962,LSWI_msc
3962,aetS_LAG12
3963,LSWI_msc
3963,aetS_LEAD4
3964,LSWI_msc
3964,aetS_LEAD8
3965,LSWI_msc
3965,aetS_LEAD12
3966,LSWI_msc
3966,TA_LAG1
3967,LSWI_msc
3967,TA_LAG2
3968,LSWI_msc
3968,TA_LAG3
3969,LSWI_msc
3969,TA_LEAD1
3970,LSWI_msc
3970,TA_LEAD2
3971,LSWI_msc
3971,TA_LEAD3
3972,LSWI_msc
3972,SW_IN_LAG1
3973,LSWI_msc
3973,SW_IN_LAG2
3974,LSWI_msc
3974,SW_IN_LAG3
3975,LSWI_msc
3975,SW_IN_LEAD1
3976,LSWI_msc
3976,SW_IN_LEAD3
3977,LSWI_msc
3977,LW_IN_LAG1
3978,LSWI_msc
3978,LW_IN_LAG2
3979,LSWI_msc
3979,LW_IN_LAG3
3980,LSWI_msc
3980,LW_IN_LEAD1
3981,LSWI_msc
3981,LW_IN_LEAD2
3982,LSWI_msc
3982,LW_IN_LEAD3
3983,LSWI_msc
3983,PA_LAG1
3984,LSWI_msc
3984,PA_LAG2
3985,LSWI_msc
3985,PA_LAG3
3986,LSWI_msc
3986,PA_LEAD1
3987,LSWI_msc
3987,PA_LEAD2
3988,LSWI_msc
3988,PA_LEAD3
3989,LSWI_msc
3989,VPD_LAG1
3990,LSWI_msc
3990,VPD_LAG2
3991,LSWI_msc
3991,VPD_LAG3
3992,LSWI_msc
3992,VPD_LEAD1
3993,LSWI_msc
3993,VPD_LEAD2
3994,LSWI_msc
3994,VPD_LEAD3
3995,LSWI_msc
3995,P_LAG1
3996,LSWI_msc
3996,P_LAG2
3997,LSWI_msc
3997,P_LAG3
3998,LSWI_msc
3998,P_LEAD1
3999,LSWI_msc
3999,P_LEAD2
4000,LSWI_msc
4000,P_LEAD3
4001,LSWI_msc
4001,NEE_LAG1
4002,LSWI_msc
4002,NEE_LAG2
4003,LSWI_msc
4003,NEE_LAG3
4004,LSWI_msc
4004,NEE_LEAD1
4005,LSWI_msc
4005,NEE_LEAD2
4006,LSWI_msc
4006,NEE_LEAD3
4007,LSWI_msc
4007,GPP_LAG1
4008,LSWI_msc
4008,GPP_LAG2
4009,LSWI_msc
4009,GPP_LAG3
4010,LSWI_msc
4010,GPP_LEAD1
4011,LSWI_msc
4011,GPP_LEAD2
4012,LSWI_msc
4012,GPP_LEAD3
4013,LSWI_msc
4013,RECO_LAG1
4014,LSWI_msc
4014,RECO_LAG2
4015,LSWI_msc
4015,RECO_LAG3
4016,LSWI_msc
4016,RECO_LEAD1
4017,LSWI_msc
4017,RECO_LEAD2
4018,LSWI_msc
4018,RECO_LEAD3
4019,LSWI_msc
4019,LE_LAG1
4020,LSWI_msc
4020,LE_LAG2
4021,LSWI_msc
4021,LE_LAG3
4022,LSWI_msc
4022,LE_LEAD1
4023,LSWI_msc
4023,LE_LEAD2
4024,LSWI_msc
4024,LE_LEAD3
4025,LSTN_msc
4025,NDSI
4026,LSTN_msc
4026,NDVI
4027,LSTN_msc
4027,EVI
4028,LSTN_msc
4028,NDWI
4029,LSTN_msc
4029,SRWI
4030,LSTN_msc
4030,LSWI
4031,LSTN_msc
4031,LSTN
4032,LSTN_msc
4032,NDSI_mean
4033,LSTN_msc
4033,NDVI_mean
4034,LSTN_msc
4034,EVI_mean
4035,LSTN_msc
4035,NDWI_mean
4036,LSTN_msc
4036,SRWI_mean
4037,LSTN_msc
4037,LSWI_mean
4038,LSTN_msc
4038,LSTN_mean
4039,LSTN_msc
4039,NDSI_min
4040,LSTN_msc
4040,NDVI_min
4041,LSTN_msc
4041,EVI_min
4042,LSTN_msc
4042,NDWI_min
4043,LSTN_msc
4043,SRWI_min
4044,LSTN_msc
4044,LSWI_min
4045,LSTN_msc
4045,LSTN_min
4046,LSTN_msc
4046,NDSI_max
4047,LSTN_msc
4047,NDVI_max
4048,LSTN_msc
4048,EVI_max
4049,LSTN_msc
4049,NDWI_max
4050,LSTN_msc
4050,SRWI_max
4051,LSTN_msc
4051,LSWI_max
4052,LSTN_msc
4052,LSTN_max
4053,LSTN_msc
4053,NDSI_amp
4054,LSTN_msc
4054,NDVI_amp
4055,LSTN_msc
4055,EVI_amp
4056,LSTN_msc
4056,NDWI_amp
4057,LSTN_msc
4057,SRWI_amp
4058,LSTN_msc
4058,LSWI_amp
4059,LSTN_msc
4059,LSTN_amp
4060,LSTN_msc
4060,WF
4061,LSTN_msc
4061,WFS
4062,LSTN_msc
4062,WFR
4063,LSTN_msc
4063,aet
4064,LSTN_msc
4064,aetS
4065,LSTN_msc
4065,aetR
4066,LSTN_msc
4066,soilwater
4067,LSTN_msc
4067,soilwaterS
4068,LSTN_msc
4068,soilwaterR
4069,LSTN_msc
4069,nx_depo
4070,LSTN_msc
4070,ny_dep
4071,LSTN_msc
4071,s_dep
4072,LSTN_msc
4072,nt_depo
4073,LSTN_msc
4073,bare
4074,LSTN_msc
4074,shrub
4075,LSTN_msc
4075,tree
4076,LSTN_msc
4076,rpot
4077,LSTN_msc
4077,canopyht
4078,LSTN_msc
4078,cti
4079,LSTN_msc
4079,wc_mat
4080,LSTN_msc
4080,wc_dtr
4081,LSTN_msc
4081,wc_iso
4082,LSTN_msc
4082,wc_ts
4083,LSTN_msc
4083,wc_mtqm
4084,LSTN_msc
4084,wc_mtcm
4085,LSTN_msc
4085,wc_tr
4086,LSTN_msc
4086,wc_mtwtq
4087,LSTN_msc
4087,wc_mtdq
4088,LSTN_msc
4088,wc_mtwq
4089,LSTN_msc
4089,wc_mtcq
4090,LSTN_msc
4090,wc_map
4091,LSTN_msc
4091,wc_pwtm
4092,LSTN_msc
4092,wc_pdm
4093,LSTN_msc
4093,wc_ps
4094,LSTN_msc
4094,wc_pwtq
4095,LSTN_msc
4095,wc_pdq
4096,LSTN_msc
4096,wc_pwq
4097,LSTN_msc
4097,wc_pcq
4098,LSTN_msc
4098,awc
4099,LSTN_msc
4099,bd
4100,LSTN_msc
4100,clay
4101,LSTN_msc
4101,hist
4102,LSTN_msc
4102,ocd
4103,LSTN_msc
4103,ph
4104,LSTN_msc
4104,cont
4105,LSTN_msc
4105,corr
4106,LSTN_msc
4106,cv
4107,LSTN_msc
4107,diss
4108,LSTN_msc
4108,east
4109,LSTN_msc
4109,elev
4110,LSTN_msc
4110,entr
4111,LSTN_msc
4111,even
4112,LSTN_msc
4112,flat
4113,LSTN_msc
4113,HD
4114,LSTN_msc
4114,HD7
4115,LSTN_msc
4115,HD9
4116,LSTN_msc
4116,hollow
4117,LSTN_msc
4117,homo
4118,LSTN_msc
4118,max
4119,LSTN_msc
4119,north
4120,LSTN_msc
4120,pcurv
4121,LSTN_msc
4121,rang
4122,LSTN_msc
4122,rough
4123,LSTN_msc
4123,shan
4124,LSTN_msc
4124,simp
4125,LSTN_msc
4125,slope
4126,LSTN_msc
4126,std
4127,LSTN_msc
4127,tcurv
4128,LSTN_msc
4128,tpi
4129,LSTN_msc
4129,unif
4130,LSTN_msc
4130,var
4131,LSTN_msc
4131,rpot_LAG4
4132,LSTN_msc
4132,rpot_LAG8
4133,LSTN_msc
4133,rpot_LAG12
4134,LSTN_msc
4134,rpot_LEAD4
4135,LSTN_msc
4135,rpot_LEAD8
4136,LSTN_msc
4136,rpot_LEAD12
4137,LSTN_msc
4137,WFS_LAG4
4138,LSTN_msc
4138,WFS_LAG8
4139,LSTN_msc
4139,WFS_LAG12
4140,LSTN_msc
4140,WFS_LEAD4
4141,LSTN_msc
4141,WFS_LEAD8
4142,LSTN_msc
4142,WFS_LEAD12
4143,LSTN_msc
4143,LSTN_LAG1
4144,LSTN_msc
4144,LSTN_LAG2
4145,LSTN_msc
4145,LSTN_LAG3
4146,LSTN_msc
4146,LSTN_LEAD1
4147,LSTN_msc
4147,LSTN_LEAD2
4148,LSTN_msc
4148,LSTN_LEAD3
4149,LSTN_msc
4149,NDSI_LAG1
4150,LSTN_msc
4150,NDSI_LAG2
4151,LSTN_msc
4151,NDSI_LAG3
4152,LSTN_msc
4152,NDSI_LEAD1
4153,LSTN_msc
4153,NDSI_LEAD2
4154,LSTN_msc
4154,NDSI_LEAD3
4155,LSTN_msc
4155,NDVI_LAG1
4156,LSTN_msc
4156,NDVI_LAG2
4157,LSTN_msc
4157,NDVI_LAG3
4158,LSTN_msc
4158,NDVI_LEAD1
4159,LSTN_msc
4159,NDVI_LEAD2
4160,LSTN_msc
4160,NDVI_LEAD3
4161,LSTN_msc
4161,EVI_LAG1
4162,LSTN_msc
4162,EVI_LAG2
4163,LSTN_msc
4163,EVI_LAG3
4164,LSTN_msc
4164,EVI_LEAD1
4165,LSTN_msc
4165,EVI_LEAD2
4166,LSTN_msc
4166,EVI_LEAD3
4167,LSTN_msc
4167,NDWI_LAG1
4168,LSTN_msc
4168,NDWI_LAG2
4169,LSTN_msc
4169,NDWI_LAG3
4170,LSTN_msc
4170,NDWI_LEAD1
4171,LSTN_msc
4171,NDWI_LEAD2
4172,LSTN_msc
4172,NDWI_LEAD3
4173,LSTN_msc
4173,SRWI_LAG1
4174,LSTN_msc
4174,SRWI_LAG2
4175,LSTN_msc
4175,SRWI_LAG3
4176,LSTN_msc
4176,SRWI_LEAD1
4177,LSTN_msc
4177,SRWI_LEAD2
4178,LSTN_msc
4178,SRWI_LEAD3
4179,LSTN_msc
4179,LSWI_LAG1
4180,LSTN_msc
4180,LSWI_LAG2
4181,LSTN_msc
4181,LSWI_LAG3
4182,LSTN_msc
4182,LSWI_LEAD1
4183,LSTN_msc
4183,LSWI_LEAD2
4184,LSTN_msc
4184,LSWI_LEAD3
4185,LSTN_msc
4185,soilwater_LAG4
4186,LSTN_msc
4186,soilwater_LAG8
4187,LSTN_msc
4187,soilwater_LAG12
4188,LSTN_msc
4188,soilwater_LEAD4
4189,LSTN_msc
4189,soilwater_LEAD8
4190,LSTN_msc
4190,soilwater_LEAD12
4191,LSTN_msc
4191,soilwaterS_LAG4
4192,LSTN_msc
4192,soilwaterS_LAG8
4193,LSTN_msc
4193,soilwaterS_LAG12
4194,LSTN_msc
4194,soilwaterS_LEAD4
4195,LSTN_msc
4195,soilwaterS_LEAD8
4196,LSTN_msc
4196,soilwaterS_LEAD12
4197,LSTN_msc
4197,aet_LAG4
4198,LSTN_msc
4198,aet_LAG8
4199,LSTN_msc
4199,aet_LAG12
4200,LSTN_msc
4200,aet_LEAD4
4201,LSTN_msc
4201,aet_LEAD8
4202,LSTN_msc
4202,aet_LEAD12
4203,LSTN_msc
4203,aetS_LAG4
4204,LSTN_msc
4204,aetS_LAG8
4205,LSTN_msc
4205,aetS_LAG12
4206,LSTN_msc
4206,aetS_LEAD4
4207,LSTN_msc
4207,aetS_LEAD8
4208,LSTN_msc
4208,aetS_LEAD12
4209,LSTN_msc
4209,TA_LAG1
4210,LSTN_msc
4210,TA_LAG2
4211,LSTN_msc
4211,TA_LAG3
4212,LSTN_msc
4212,TA_LEAD1
4213,LSTN_msc
4213,TA_LEAD2
4214,LSTN_msc
4214,TA_LEAD3
4215,LSTN_msc
4215,SW_IN_LAG1
4216,LSTN_msc
4216,SW_IN_LAG2
4217,LSTN_msc
4217,SW_IN_LAG3
4218,LSTN_msc
4218,SW_IN_LEAD1
4219,LSTN_msc
4219,SW_IN_LEAD3
4220,LSTN_msc
4220,LW_IN_LAG1
4221,LSTN_msc
4221,LW_IN_LAG2
4222,LSTN_msc
4222,LW_IN_LAG3
4223,LSTN_msc
4223,LW_IN_LEAD1
4224,LSTN_msc
4224,LW_IN_LEAD2
4225,LSTN_msc
4225,LW_IN_LEAD3
4226,LSTN_msc
4226,PA_LAG1
4227,LSTN_msc
4227,PA_LAG2
4228,LSTN_msc
4228,PA_LAG3
4229,LSTN_msc
4229,PA_LEAD1
4230,LSTN_msc
4230,PA_LEAD2
4231,LSTN_msc
4231,PA_LEAD3
4232,LSTN_msc
4232,VPD_LAG1
4233,LSTN_msc
4233,VPD_LAG2
4234,LSTN_msc
4234,VPD_LAG3
4235,LSTN_msc
4235,VPD_LEAD1
4236,LSTN_msc
4236,VPD_LEAD2
4237,LSTN_msc
4237,VPD_LEAD3
4238,LSTN_msc
4238,P_LAG1
4239,LSTN_msc
4239,P_LAG2
4240,LSTN_msc
4240,P_LAG3
4241,LSTN_msc
4241,P_LEAD1
4242,LSTN_msc
4242,P_LEAD2
4243,LSTN_msc
4243,P_LEAD3
4244,LSTN_msc
4244,NEE_LAG1
4245,LSTN_msc
4245,NEE_LAG2
4246,LSTN_msc
4246,NEE_LAG3
4247,LSTN_msc
4247,NEE_LEAD1
4248,LSTN_msc
4248,NEE_LEAD2
4249,LSTN_msc
4249,NEE_LEAD3
4250,LSTN_msc
4250,GPP_LAG1
4251,LSTN_msc
4251,GPP_LAG2
4252,LSTN_msc
4252,GPP_LAG3
4253,LSTN_msc
4253,GPP_LEAD1
4254,LSTN_msc
4254,GPP_LEAD2
4255,LSTN_msc
4255,GPP_LEAD3
4256,LSTN_msc
4256,RECO_LAG1
4257,LSTN_msc
4257,RECO_LAG2
4258,LSTN_msc
4258,RECO_LAG3
4259,LSTN_msc
4259,RECO_LEAD1
4260,LSTN_msc
4260,RECO_LEAD2
4261,LSTN_msc
4261,RECO_LEAD3
4262,LSTN_msc
4262,LE_LAG1
4263,LSTN_msc
4263,LE_LAG2
4264,LSTN_msc
4264,LE_LAG3
4265,LSTN_msc
4265,LE_LEAD1
4266,LSTN_msc
4266,LE_LEAD2
4267,LSTN_msc
4267,LE_LEAD3
4268,NDSI
4268,NDVI
4269,NDSI
4269,EVI
4270,NDSI
4270,NDWI
4271,NDSI
4271,SRWI
4272,NDSI
4272,LSWI
4273,NDSI
4273,LSTN
4274,NDSI
4274,NDSI_mean
4275,NDSI
4275,NDVI_mean
4276,NDSI
4276,EVI_mean
4277,NDSI
4277,NDWI_mean
4278,NDSI
4278,SRWI_mean
4279,NDSI
4279,LSWI_mean
4280,NDSI
4280,LSTN_mean
4281,NDSI
4281,NDSI_min
4282,NDSI
4282,NDVI_min
4283,NDSI
4283,EVI_min
4284,NDSI
4284,NDWI_min
4285,NDSI
4285,SRWI_min
4286,NDSI
4286,LSWI_min
4287,NDSI
4287,LSTN_min
4288,NDSI
4288,NDSI_max
4289,NDSI
4289,NDVI_max
4290,NDSI
4290,EVI_max
4291,NDSI
4291,NDWI_max
4292,NDSI
4292,SRWI_max
4293,NDSI
4293,LSWI_max
4294,NDSI
4294,LSTN_max
4295,NDSI
4295,NDSI_amp
4296,NDSI
4296,NDVI_amp
4297,NDSI
4297,EVI_amp
4298,NDSI
4298,NDWI_amp
4299,NDSI
4299,SRWI_amp
4300,NDSI
4300,LSWI_amp
4301,NDSI
4301,LSTN_amp
4302,NDSI
4302,WF
4303,NDSI
4303,WFS
4304,NDSI
4304,WFR
4305,NDSI
4305,aet
4306,NDSI
4306,aetS
4307,NDSI
4307,aetR
4308,NDSI
4308,soilwater
4309,NDSI
4309,soilwaterS
4310,NDSI
4310,soilwaterR
4311,NDSI
4311,nx_depo
4312,NDSI
4312,ny_dep
4313,NDSI
4313,s_dep
4314,NDSI
4314,nt_depo
4315,NDSI
4315,bare
4316,NDSI
4316,shrub
4317,NDSI
4317,tree
4318,NDSI
4318,rpot
4319,NDSI
4319,canopyht
4320,NDSI
4320,cti
4321,NDSI
4321,wc_mat
4322,NDSI
4322,wc_dtr
4323,NDSI
4323,wc_iso
4324,NDSI
4324,wc_ts
4325,NDSI
4325,wc_mtqm
4326,NDSI
4326,wc_mtcm
4327,NDSI
4327,wc_tr
4328,NDSI
4328,wc_mtwtq
4329,NDSI
4329,wc_mtdq
4330,NDSI
4330,wc_mtwq
4331,NDSI
4331,wc_mtcq
4332,NDSI
4332,wc_map
4333,NDSI
4333,wc_pwtm
4334,NDSI
4334,wc_pdm
4335,NDSI
4335,wc_ps
4336,NDSI
4336,wc_pwtq
4337,NDSI
4337,wc_pdq
4338,NDSI
4338,wc_pwq
4339,NDSI
4339,wc_pcq
4340,NDSI
4340,awc
4341,NDSI
4341,bd
4342,NDSI
4342,clay
4343,NDSI
4343,hist
4344,NDSI
4344,ocd
4345,NDSI
4345,ph
4346,NDSI
4346,cont
4347,NDSI
4347,corr
4348,NDSI
4348,cv
4349,NDSI
4349,diss
4350,NDSI
4350,east
4351,NDSI
4351,elev
4352,NDSI
4352,entr
4353,NDSI
4353,even
4354,NDSI
4354,flat
4355,NDSI
4355,HD
4356,NDSI
4356,HD7
4357,NDSI
4357,HD9
4358,NDSI
4358,hollow
4359,NDSI
4359,homo
4360,NDSI
4360,max
4361,NDSI
4361,north
4362,NDSI
4362,pcurv
4363,NDSI
4363,rang
4364,NDSI
4364,rough
4365,NDSI
4365,shan
4366,NDSI
4366,simp
4367,NDSI
4367,slope
4368,NDSI
4368,std
4369,NDSI
4369,tcurv
4370,NDSI
4370,tpi
4371,NDSI
4371,unif
4372,NDSI
4372,var
4373,NDSI
4373,rpot_LAG4
4374,NDSI
4374,rpot_LAG8
4375,NDSI
4375,rpot_LAG12
4376,NDSI
4376,rpot_LEAD4
4377,NDSI
4377,rpot_LEAD8
4378,NDSI
4378,rpot_LEAD12
4379,NDSI
4379,WFS_LAG4
4380,NDSI
4380,WFS_LAG8
4381,NDSI
4381,WFS_LAG12
4382,NDSI
4382,WFS_LEAD4
4383,NDSI
4383,WFS_LEAD8
4384,NDSI
4384,WFS_LEAD12
4385,NDSI
4385,LSTN_LAG1
4386,NDSI
4386,LSTN_LAG2
4387,NDSI
4387,LSTN_LAG3
4388,NDSI
4388,LSTN_LEAD1
4389,NDSI
4389,LSTN_LEAD2
4390,NDSI
4390,LSTN_LEAD3
4391,NDSI
4391,NDSI_LAG1
4392,NDSI
4392,NDSI_LAG2
4393,NDSI
4393,NDSI_LAG3
4394,NDSI
4394,NDSI_LEAD1
4395,NDSI
4395,NDSI_LEAD2
4396,NDSI
4396,NDSI_LEAD3
4397,NDSI
4397,NDVI_LAG1
4398,NDSI
4398,NDVI_LAG2
4399,NDSI
4399,NDVI_LAG3
4400,NDSI
4400,NDVI_LEAD1
4401,NDSI
4401,NDVI_LEAD2
4402,NDSI
4402,NDVI_LEAD3
4403,NDSI
4403,EVI_LAG1
4404,NDSI
4404,EVI_LAG2
4405,NDSI
4405,EVI_LAG3
4406,NDSI
4406,EVI_LEAD1
4407,NDSI
4407,EVI_LEAD2
4408,NDSI
4408,EVI_LEAD3
4409,NDSI
4409,NDWI_LAG1
4410,NDSI
4410,NDWI_LAG2
4411,NDSI
4411,NDWI_LAG3
4412,NDSI
4412,NDWI_LEAD1
4413,NDSI
4413,NDWI_LEAD2
4414,NDSI
4414,NDWI_LEAD3
4415,NDSI
4415,SRWI_LAG1
4416,NDSI
4416,SRWI_LAG2
4417,NDSI
4417,SRWI_LAG3
4418,NDSI
4418,SRWI_LEAD1
4419,NDSI
4419,SRWI_LEAD2
4420,NDSI
4420,SRWI_LEAD3
4421,NDSI
4421,LSWI_LAG1
4422,NDSI
4422,LSWI_LAG2
4423,NDSI
4423,LSWI_LAG3
4424,NDSI
4424,LSWI_LEAD1
4425,NDSI
4425,LSWI_LEAD2
4426,NDSI
4426,LSWI_LEAD3
4427,NDSI
4427,soilwater_LAG4
4428,NDSI
4428,soilwater_LAG8
4429,NDSI
4429,soilwater_LAG12
4430,NDSI
